Gemeindecode;Gemeindename;Einwohner;Veränderung in %;Bevölkerungs-dichte pro km²;Auslaenderanteil;0-19 Jahre;20-64 Jahre;65 Jahre und mehr;Rohe Heiratssziffer;Rohe Scheidungsziffer;Rohe Geburtenziffer;Rohe Sterbeziffer;Anzahl Privathaushalte;Durchschnittliche Haushaltsgrösse in Personen;Gesamtfläche in km²;Siedlungsfläche in %;Veränderung in ha;Landwirtschafts-fläche in %;Veränderung in ha;Wald und Gehölze in %;Unproduktive Fläche in %;Beschäftigte total;im 1. Sektor;im 2. Sektor;im 3. Sektor;Arbeitsstätten total;im 1. Sektor;im 2. Sektor;im 3. Sektor;Leerwohnungs-ziffer;Neu gebaute Wohnungen pro 1000 Einwohner;Sozialhilfequote;FDP 2);CVP;SP;SVP;EVP/CSP;GLP;BDP;PdA/Sol.;GPS;Kleine Rechtsparteien;Übrige Parteien;;gemäss Strafgesetzbuch (StGB) ;gemäss Betäubungsmittel-gesetz (BetmG);gemäss Ausländergesetz (AuG)
1081;Beromünster;6.234;6,4;148;11,9;25,3;59,2;15,5;2,8;1,0;12,8;7,9;2.365;2,6;42,2;9,1;113;68,9;-120;21,5;0,5;2.714;487;747;1.480;534;166;101;267;1,23;13,9;1,2;26,8;31,4;6,2;25,3;0,4;4,3;1,2;*;3,9;0,1;0,5;"MATCH (a:Gemeinde), (b:Partei) WHERE a.BFSNr=1081 AND b.name='SVP' CREATE (a)<-[:hatWaehleranteil {AnteilProzent:toFloat(25,312243221)}]-(b);";24,9;1,0;0,0
1082;Büron;2.287;4,3;426;25,2;25,2;63,2;11,6;3,1;1,3;8,3;4,8;846;2,7;5,4;17,4;28;64,6;-30;16,3;1,7;1.026;61;694;271;146;21;37;88;1,81;2,2;2,1;26,7;18,9;8,7;34,7;0,5;4,4;0,8;*;4,5;0,0;0,7;"MATCH (a:Gemeinde), (b:Partei) WHERE a.BFSNr=1082 AND b.name='SVP' CREATE (a)<-[:hatWaehleranteil {AnteilProzent:toFloat(34,679408138)}]-(b);";32,0;1,3;0,0
1083;Buttisholz;3.272;4,7;196;12,1;26,9;60,2;12,8;4,0;0,6;7,9;7,6;1.151;2,8;16,8;8,3;38;72,9;-34;16,6;2,1;1.620;239;664;717;277;89;48;140;0,00;7,3;0,6;13,0;37,3;6,7;32,5;0,7;5,0;1,5;*;3,0;0,0;0,3;"MATCH (a:Gemeinde), (b:Partei) WHERE a.BFSNr=1083 AND b.name='SVP' CREATE (a)<-[:hatWaehleranteil {AnteilProzent:toFloat(32,528631458)}]-(b);";14,2;0,0;0,0
1084;Eich;1.707;2,4;287;6,5;20,5;64,6;14,9;5,9;2,4;16,5;4,1;696;2,4;5,9;16,6;24;63,8;-21;19,5;0,0;661;76;199;386;159;25;23;111;0,00;0,0;0,6;23,1;25,2;5,9;33,0;0,6;5,3;1,6;*;5,1;0,0;0,2;"MATCH (a:Gemeinde), (b:Partei) WHERE a.BFSNr=1084 AND b.name='SVP' CREATE (a)<-[:hatWaehleranteil {AnteilProzent:toFloat(32,971160295)}]-(b);";25,9;3,5;0,0
1085;Geuensee;2.750;14,3;425;21,1;24,7;64,4;10,9;4,1;1,9;13,0;4,5;1.049;2,6;6,4;12,6;25;72,8;-23;14,6;0,0;925;79;440;406;158;29;34;95;1,21;12,6;0,9;17,3;22,5;11,7;29,7;0,6;8,4;1,3;*;7,7;0,1;0,6;"MATCH (a:Gemeinde), (b:Partei) WHERE a.BFSNr=1085 AND b.name='SVP' CREATE (a)<-[:hatWaehleranteil {AnteilProzent:toFloat(29,721043836)}]-(b);";31,6;1,1;0,0
1086;Grosswangen;3.104;5,5;158;12,3;26,2;60,7;13,1;7,4;1,0;9,7;4,2;1.143;2,7;19,7;7,1;35;77,2;-33;15,2;0,6;1.264;317;383;564;273;110;45;118;0,32;7,4;0,8;25,5;34,5;4,7;27,6;0,2;3,2;0,9;*;3,0;0,2;0,3;"MATCH (a:Gemeinde), (b:Partei) WHERE a.BFSNr=1086 AND b.name='SVP' CREATE (a)<-[:hatWaehleranteil {AnteilProzent:toFloat(27,5550585)}]-(b);";17,4;1,3;1,0
1088;Hildisrieden;2.055;7,8;292;8,1;21,1;61,1;17,8;6,9;2,5;11,3;6,9;787;2,6;7,0;19,3;75;69,0;-73;11,7;0,0;553;111;95;347;143;34;18;91;0,00;12,4;0,3;19,2;32,8;6,5;29,1;0,5;6,5;1,4;*;3,3;0,0;0,6;"MATCH (a:Gemeinde), (b:Partei) WHERE a.BFSNr=1088 AND b.name='SVP' CREATE (a)<-[:hatWaehleranteil {AnteilProzent:toFloat(29,117450412)}]-(b);";21,8;0,0;0,0
1089;Knutwil;2.126;7,7;218;9,5;26,7;60,9;12,5;5,7;1,9;12,8;6,2;792;2,7;9,8;12,5;27;67,6;-27;19,8;0,1;750;103;231;416;169;36;31;102;0,68;1,9;0,8;21,2;28,2;9,1;28,8;0,3;4,5;1,5;*;5,8;0,1;0,5;"MATCH (a:Gemeinde), (b:Partei) WHERE a.BFSNr=1089 AND b.name='SVP' CREATE (a)<-[:hatWaehleranteil {AnteilProzent:toFloat(28,758337609)}]-(b);";36,4;2,4;1,0
1091;Mauensee;1.271;10,2;176;9,2;21,6;66,7;11,7;0,8;0,8;8,2;4,9;437;2,9;7,2;7,5;19;67,8;-17;17,0;7,7;337;104;77;156;81;28;8;45;0,61;3,5;0,5;19,3;27,0;10,5;27,2;0,9;6,3;1,1;*;7,0;0,1;0,6;"MATCH (a:Gemeinde), (b:Partei) WHERE a.BFSNr=1091 AND b.name='SVP' CREATE (a)<-[:hatWaehleranteil {AnteilProzent:toFloat(27,197477335)}]-(b);";22,5;0,0;0,0
1093;Neuenkirch;6.484;6,0;254;10,2;24,6;62,8;12,6;3,6;0,8;9,2;5,3;2.376;2,7;25,5;11,0;80;68,7;-73;19,9;0,4;2.425;334;867;1.224;496;117;85;294;0,07;23,2;0,6;22,2;25,5;9,9;29,1;0,7;5,5;2,1;*;4,6;0,0;0,4;"MATCH (a:Gemeinde), (b:Partei) WHERE a.BFSNr=1093 AND b.name='SVP' CREATE (a)<-[:hatWaehleranteil {AnteilProzent:toFloat(29,066606253)}]-(b);";30,0;3,6;0,2
1094;Nottwil;3.476;3,2;336;11,0;24,1;63,3;12,5;4,1;0,6;14,5;4,6;1.337;2,6;10,3;14,3;51;75,7;-49;9,0;1,1;2.336;158;312;1.866;250;59;37;154;0,14;1,5;1,0;18,0;27,0;9,3;30,4;0,9;6,5;1,8;*;5,5;0,0;0,6;"MATCH (a:Gemeinde), (b:Partei) WHERE a.BFSNr=1094 AND b.name='SVP' CREATE (a)<-[:hatWaehleranteil {AnteilProzent:toFloat(30,377387793)}]-(b);";39,6;0,6;0,0
1095;Oberkirch;4.062;10,2;446;11,6;23,8;64,1;12,1;6,8;1,3;11,8;5,3;1.610;2,5;9,1;22,0;98;64,6;-95;12,1;1,3;2.502;141;155;2.206;251;50;30;171;0,29;11,3;0,5;24,1;25,4;10,1;22,6;0,7;7,1;1,1;*;8,3;0,1;0,3;"MATCH (a:Gemeinde), (b:Partei) WHERE a.BFSNr=1095 AND b.name='SVP' CREATE (a)<-[:hatWaehleranteil {AnteilProzent:toFloat(22,636033857)}]-(b);";43,9;3,3;1,0
1097;Rickenbach (LU);3.110;2,6;262;17,9;24,5;59,9;15,7;4,2;1,6;7,1;7,4;1.173;2,6;11,8;11,7;26;56,9;-24;31,3;0,1;1.273;107;671;495;226;40;58;128;0,99;4,2;1,9;22,8;28,0;5,0;37,1;0,4;2,7;1,1;*;2,4;0,0;0,4;"MATCH (a:Gemeinde), (b:Partei) WHERE a.BFSNr=1097 AND b.name='SVP' CREATE (a)<-[:hatWaehleranteil {AnteilProzent:toFloat(37,135205024)}]-(b);";24,4;1,0;0,0
1098;Ruswil;6.812;3,4;151;7,6;23,2;62,6;14,3;5,3;1,9;10,6;7,7;2.616;2,6;45,3;7,0;87;71,8;-70;20,7;0,5;2.947;621;970;1.356;562;205;93;264;0,21;17,3;1,4;14,3;35,6;8,0;31,3;0,9;4,4;0,9;*;4,1;0,1;0,5;"MATCH (a:Gemeinde), (b:Partei) WHERE a.BFSNr=1098 AND b.name='SVP' CREATE (a)<-[:hatWaehleranteil {AnteilProzent:toFloat(31,305007587)}]-(b);";14,5;0,0;0,0
1099;Schenkon;2.731;7,6;405;4,9;20,7;66,4;12,9;6,2;1,1;12,1;5,5;1.073;2,5;6,8;17,6;30;64,8;-30;16,7;0,9;893;85;258;550;195;33;28;134;0,00;3,6;0,2;22,8;27,8;8,1;30,0;0,1;5,1;1,0;*;4,9;0,0;0,3;"MATCH (a:Gemeinde), (b:Partei) WHERE a.BFSNr=1099 AND b.name='SVP' CREATE (a)<-[:hatWaehleranteil {AnteilProzent:toFloat(30,007609707)}]-(b);";35,0;0,7;0,0
1100;Schlierbach;792;14,0;110;8,7;28,9;57,8;13,3;0,0;1,3;14,0;6,4;287;2,7;7,2;6,5;6;62,0;-8;31,4;0,1;164;59;25;80;57;26;10;21;0,00;2,6;0,1;34,9;29,6;3,7;25,6;*;3,1;0,4;*;2,1;*;0,5;"MATCH (a:Gemeinde), (b:Partei) WHERE a.BFSNr=1100 AND b.name='SVP' CREATE (a)<-[:hatWaehleranteil {AnteilProzent:toFloat(25,636418089)}]-(b);";5,1;0,0;0,0
1102;Sempach;4.171;3,5;468;7,9;24,6;61,0;14,4;4,6;1,7;12,3;5,0;1.598;2,6;9,0;20,7;61;63,9;-67;14,1;1,3;1.878;137;650;1.091;325;32;55;238;0,64;5,8;0,6;20,5;30,6;11,3;20,9;0,6;7,4;1,4;*;6,8;0,1;0,5;"MATCH (a:Gemeinde), (b:Partei) WHERE a.BFSNr=1102 AND b.name='SVP' CREATE (a)<-[:hatWaehleranteil {AnteilProzent:toFloat(20,864618885)}]-(b);";42,4;3,1;0,5
1103;Sursee;9.390;5,0;1.608;15,3;18,3;64,6;17,1;6,9;2,6;11,5;6,9;4.212;2,2;5,9;51,9;57;25,4;-56;21,5;1,2;13.068;39;2.615;10.414;1.041;9;151;881;1,38;4,8;2,0;17,7;25,5;16,8;20,5;0,6;7,5;1,2;*;9,3;0,1;0,8;"MATCH (a:Gemeinde), (b:Partei) WHERE a.BFSNr=1103 AND b.name='SVP' CREATE (a)<-[:hatWaehleranteil {AnteilProzent:toFloat(20,494160455)}]-(b);";109,8;3,3;1,4
1104;Triengen;4.462;1,5;202;24,5;23,7;62,0;14,3;5,8;0,7;11,9;8,1;1.634;2,7;22,1;10,6;67;64,1;-71;24,9;0,4;3.194;275;1.957;962;308;86;66;156;0,43;8,3;1,3;24,5;24,5;6,9;32,8;0,4;3,7;1,9;*;4,5;0,1;0,6;"MATCH (a:Gemeinde), (b:Partei) WHERE a.BFSNr=1104 AND b.name='SVP' CREATE (a)<-[:hatWaehleranteil {AnteilProzent:toFloat(32,771955186)}]-(b);";34,4;2,7;0,4
1107;Wolhusen;4.294;1,3;300;15,7;23,8;60,7;15,5;4,5;1,6;14,1;7,5;1.634;2,6;14,3;9,3;29;57,1;-21;31,8;1,8;2.511;183;500;1.828;327;66;47;214;0,22;13,9;2,7;14,9;36,5;6,8;33,1;0,8;2,5;0,6;*;4,5;0,0;0,3;"MATCH (a:Gemeinde), (b:Partei) WHERE a.BFSNr=1107 AND b.name='SVP' CREATE (a)<-[:hatWaehleranteil {AnteilProzent:toFloat(33,114162315)}]-(b);";40,4;0,5;1,4
1121;Alberswil;643;11,8;182;11,5;24,0;64,9;11,2;4,8;0,0;11,2;4,8;248;2,6;3,6;8,4;13;72,2;-11;18,0;1,4;158;26;19;113;51;10;10;31;1,08;13,2;0,8;26,8;32,3;3,3;33,9;0,0;1,4;0,9;*;0,7;*;0,7;"MATCH (a:Gemeinde), (b:Partei) WHERE a.BFSNr=1121 AND b.name='SVP' CREATE (a)<-[:hatWaehleranteil {AnteilProzent:toFloat(33,873794917)}]-(b);";33,1;0,0;0,0
1122;Altbüron;974;6,3;144;8,1;21,8;62,9;15,3;4,1;3,1;6,1;8,2;377;2,6;6,8;9,6;22;60,5;-17;29,4;0,6;509;99;297;113;100;34;25;41;3,36;15,3;0,4;27,9;26,9;3,1;31,3;0,3;4,7;3,1;*;2,6;*;0,2;"MATCH (a:Gemeinde), (b:Partei) WHERE a.BFSNr=1122 AND b.name='SVP' CREATE (a)<-[:hatWaehleranteil {AnteilProzent:toFloat(31,285551763)}]-(b);";29,6;0,0;0,0
1123;Altishofen;1.579;13,2;274;17,4;25,0;62,9;12,1;5,1;3,2;14,0;1,9;590;2,6;5,7;12,0;24;48,6;-23;38,3;1,0;2.180;81;205;1.894;123;22;26;75;0,79;14,0;1,7;14,1;52,5;5,8;17,9;0,2;2,8;1,0;*;5,4;0,0;0,3;"MATCH (a:Gemeinde), (b:Partei) WHERE a.BFSNr=1123 AND b.name='SVP' CREATE (a)<-[:hatWaehleranteil {AnteilProzent:toFloat(17,880166856)}]-(b);";21,0;0,0;0,0
1125;Dagmersellen;5.118;2,9;215;14,2;22,5;63,4;14,0;5,3;2,0;13,7;7,4;2.057;2,4;23,9;11,9;56;52,6;-62;33,9;1,5;3.483;233;1.769;1.481;372;91;81;200;0,63;4,1;1,1;20,1;31,5;7,7;32,5;0,3;2,8;1,1;*;3,1;0,2;0,7;"MATCH (a:Gemeinde), (b:Partei) WHERE a.BFSNr=1125 AND b.name='SVP' CREATE (a)<-[:hatWaehleranteil {AnteilProzent:toFloat(32,538212135)}]-(b);";44,4;2,0;0,0
1126;Ebersecken;401;-3,8;47;4,5;26,9;58,6;14,5;0,0;2,5;10,0;0,0;136;2,9;8,6;4,1;9;78,4;-6;17,1;0,5;188;124;9;55;57;43;6;8;2,61;0,0;1,2;25,3;36,3;1,9;32,1;0,1;0,4;1,0;*;2,4;0,6;*;"MATCH (a:Gemeinde), (b:Partei) WHERE a.BFSNr=1126 AND b.name='SVP' CREATE (a)<-[:hatWaehleranteil {AnteilProzent:toFloat(32,140829074)}]-(b);";7,5;0,0;0,0
1127;Egolzwil;1.368;5,5;327;8,6;20,7;67,1;12,2;6,7;3,0;9,6;3,7;553;2,4;4,2;17,5;19;57,8;-17;23,5;1,2;506;49;188;269;82;13;19;50;0,33;6,0;0,5;22,6;36,9;5,0;24,9;0,9;4,3;1,2;*;3,6;0,1;0,6;"MATCH (a:Gemeinde), (b:Partei) WHERE a.BFSNr=1127 AND b.name='SVP' CREATE (a)<-[:hatWaehleranteil {AnteilProzent:toFloat(24,939123377)}]-(b);";31,6;0,0;0,0
1128;Ettiswil;2.562;6,4;204;8,5;23,7;63,7;12,6;5,1;2,0;12,9;7,1;979;2,6;12,5;10,6;32;71,0;-32;17,4;1,0;873;142;307;424;182;50;45;87;0,73;0,8;1,6;26,7;32,4;6,1;27,7;0,6;3,2;0,9;*;2,2;0,0;0,3;"MATCH (a:Gemeinde), (b:Partei) WHERE a.BFSNr=1128 AND b.name='SVP' CREATE (a)<-[:hatWaehleranteil {AnteilProzent:toFloat(27,685866013)}]-(b);";26,4;0,0;0,0
1129;Fischbach;733;0,5;91;10,1;26,9;58,4;14,7;4,2;0,0;12,5;8,3;242;2,9;8,1;5,6;9;80,6;-7;13,4;0,4;205;103;61;41;61;38;5;18;0,71;2,8;2,5;14,2;30,6;2,3;46,9;0,1;1,0;2,0;*;2,3;0,2;0,4;"MATCH (a:Gemeinde), (b:Partei) WHERE a.BFSNr=1129 AND b.name='SVP' CREATE (a)<-[:hatWaehleranteil {AnteilProzent:toFloat(46,872803935)}]-(b);";7,1;0,0;0,0
1130;Gettnau;1.088;6,9;180;19,2;25,0;61,3;13,7;9,4;0,0;11,3;3,8;410;2,6;6,0;10,5;10;52,5;-9;36,2;0,8;491;83;250;158;95;29;21;45;1,53;22,2;2,3;21,0;39,1;3,1;33,9;0,0;1,3;0,3;*;1,0;0,1;0,3;"MATCH (a:Gemeinde), (b:Partei) WHERE a.BFSNr=1130 AND b.name='SVP' CREATE (a)<-[:hatWaehleranteil {AnteilProzent:toFloat(33,914882368)}]-(b);";32,9;4,8;0,0
1131;Grossdietwil;838;0,2;82;6,9;22,4;63,0;14,6;3,6;0,0;4,8;7,2;307;2,7;10,2;6,5;18;71,2;-13;22,2;0,1;373;119;131;123;88;41;16;31;1,20;4,8;0,5;16,1;41,3;4,3;30,7;0,2;3,2;0,7;*;3,3;0,1;0,3;"MATCH (a:Gemeinde), (b:Partei) WHERE a.BFSNr=1131 AND b.name='SVP' CREATE (a)<-[:hatWaehleranteil {AnteilProzent:toFloat(30,699844479)}]-(b);";28,7;0,0;0,0
1132;Hergiswil bei Willisau;1.869;2,7;60;5,8;25,4;58,7;15,9;7,5;1,1;11,8;5,9;640;2,9;31,3;4,6;25;58,2;-4;36,4;0,8;851;376;166;309;229;152;26;51;1,23;4,8;0,9;12,6;44,5;1,9;37,1;0,2;1,3;0,4;*;1,8;0,1;0,1;"MATCH (a:Gemeinde), (b:Partei) WHERE a.BFSNr=1132 AND b.name='SVP' CREATE (a)<-[:hatWaehleranteil {AnteilProzent:toFloat(37,069207061)}]-(b);";7,0;0,5;0,0
1135;Luthern;1.307;-4,2;35;5,0;24,9;56,5;18,7;3,0;0,0;8,3;10,6;463;2,7;37,9;3,8;35;48,3;-13;46,5;1,3;713;328;176;209;188;126;25;37;0,36;1,5;0,3;8,6;50,1;2,6;33,4;0,2;1,9;1,2;*;2,0;*;0,1;"MATCH (a:Gemeinde), (b:Partei) WHERE a.BFSNr=1135 AND b.name='SVP' CREATE (a)<-[:hatWaehleranteil {AnteilProzent:toFloat(33,383490972)}]-(b);";15,0;0,0;0,0
1136;Menznau;2.918;2,4;96;9,3;25,1;59,6;15,3;2,8;1,4;10,3;4,8;1.060;2,7;30,4;6,2;52;58,6;-32;34,3;0,9;1.510;325;667;518;267;118;41;108;0,08;1,0;2,0;24,2;37,0;2,7;30,5;0,4;1,8;0,8;*;2,0;0,1;0,6;"MATCH (a:Gemeinde), (b:Partei) WHERE a.BFSNr=1136 AND b.name='SVP' CREATE (a)<-[:hatWaehleranteil {AnteilProzent:toFloat(30,45567665)}]-(b);";22,5;0,3;0,3
1137;Nebikon;2.517;8,2;675;26,5;22,8;64,6;12,6;5,2;1,2;13,6;7,2;991;2,5;3,7;23,9;22;35,1;-25;39,9;1,1;1.109;37;477;595;152;12;25;115;1,83;10,1;0,7;41,0;22,4;4,7;25,2;0,1;3,5;0,6;*;2,2;0,0;0,3;"MATCH (a:Gemeinde), (b:Partei) WHERE a.BFSNr=1137 AND b.name='SVP' CREATE (a)<-[:hatWaehleranteil {AnteilProzent:toFloat(25,20716386)}]-(b);";46,9;0,0;0,0
1139;Pfaffnau;2.304;4,7;130;11,2;20,6;63,3;16,1;5,3;2,6;9,2;6,1;957;2,4;17,6;9,7;38;65,0;-37;24,5;0,7;1.434;176;174;1.084;193;68;30;95;4,23;8,0;0,9;14,2;32,9;6,9;32,5;1,2;3,7;2,8;*;5,0;0,1;0,5;"MATCH (a:Gemeinde), (b:Partei) WHERE a.BFSNr=1139 AND b.name='SVP' CREATE (a)<-[:hatWaehleranteil {AnteilProzent:toFloat(32,529644269)}]-(b);";43,4;1,3;0,0
1140;Reiden;6.892;5,9;255;21,8;21,0;63,3;15,7;6,7;1,6;10,3;6,3;2.840;2,4;27,0;11,4;77;51,1;-69;37,0;0,6;3.667;195;1.711;1.761;469;79;105;285;1,55;22,2;2,0;21,0;25,9;8,8;32,9;0,9;4,9;1,6;*;3,2;0,1;0,7;"MATCH (a:Gemeinde), (b:Partei) WHERE a.BFSNr=1140 AND b.name='SVP' CREATE (a)<-[:hatWaehleranteil {AnteilProzent:toFloat(32,889280531)}]-(b);";40,7;1,9;0,4
1142;Roggliswil;647;2,7;104;5,4;21,5;63,1;15,5;3,1;1,6;7,8;7,8;259;2,5;6,2;6,3;10;66,1;-10;27,1;0,5;259;91;77;91;70;33;10;27;3,00;7,9;0,0;23,0;29,8;5,7;32,3;*;3,3;3,1;*;2,5;*;0,2;"MATCH (a:Gemeinde), (b:Partei) WHERE a.BFSNr=1142 AND b.name='SVP' CREATE (a)<-[:hatWaehleranteil {AnteilProzent:toFloat(32,330525471)}]-(b);";9,4;0,0;0,0
1143;Schötz;4.095;8,6;268;16,4;25,6;62,0;12,5;4,5;1,2;11,9;5,7;1.591;2,5;15,4;10,8;45;67,6;-46;19,9;1,7;1.604;171;567;866;283;65;60;158;0,81;18,8;1,1;17,0;33,9;6,0;35,3;0,4;3,4;0,8;*;2,7;0,1;0,4;"MATCH (a:Gemeinde), (b:Partei) WHERE a.BFSNr=1143 AND b.name='SVP' CREATE (a)<-[:hatWaehleranteil {AnteilProzent:toFloat(35,281006209)}]-(b);";38,1;2,0;0,3
1145;Ufhusen;876;3,3;72;4,6;24,1;59,8;16,1;3,5;0,0;9,2;5,8;312;2,8;12,3;5,5;20;73,3;-20;21,0;0,2;332;152;72;108;112;62;19;31;0,85;12,8;0,8;9,4;42,1;2,4;39,5;0,3;3,0;1,7;*;0,8;0,2;0,6;"MATCH (a:Gemeinde), (b:Partei) WHERE a.BFSNr=1145 AND b.name='SVP' CREATE (a)<-[:hatWaehleranteil {AnteilProzent:toFloat(39,471199245)}]-(b);";20,9;0,0;0,0
1146;Wauwil;1.904;9,9;643;25,6;22,0;64,1;13,9;3,7;1,6;15,9;6,4;737;2,5;2,9;21,1;10;68,4;-8;10,5;0,0;634;189;160;285;113;18;27;68;2,78;14,9;1,5;19,3;29,8;8,6;30,5;0,7;4,7;1,7;*;4,2;0,1;0,4;"MATCH (a:Gemeinde), (b:Partei) WHERE a.BFSNr=1146 AND b.name='SVP' CREATE (a)<-[:hatWaehleranteil {AnteilProzent:toFloat(30,500354862)}]-(b);";38,4;1,6;0,0
1147;Wikon;1.470;7,7;178;15,2;22,0;61,1;16,9;3,4;0,7;13,7;11,7;603;2,4;8,3;9,7;16;38,8;-10;51,4;0,1;818;70;488;260;90;18;15;57;1,81;7,6;2,5;18,8;16,6;12,9;39,0;1,5;6,1;1,4;*;2,6;0,1;0,9;"MATCH (a:Gemeinde), (b:Partei) WHERE a.BFSNr=1147 AND b.name='SVP' CREATE (a)<-[:hatWaehleranteil {AnteilProzent:toFloat(38,999514327)}]-(b);";45,1;4,2;0,0
1150;Zell (LU);1.999;1,7;144;11,6;23,5;60,1;16,4;6,0;2,0;12,4;9,4;738;2,7;13,9;10,3;30;67,2;-29;21,6;0,9;1.431;159;687;585;186;61;40;85;0,95;8,4;1,1;21,2;31,9;5,2;33,8;0,3;1,9;1,6;*;3,1;0,1;0,8;"MATCH (a:Gemeinde), (b:Partei) WHERE a.BFSNr=1150 AND b.name='SVP' CREATE (a)<-[:hatWaehleranteil {AnteilProzent:toFloat(33,812518718)}]-(b);";35,5;1,0;0,0
1151;Willisau;7.623;5,4;185;9,9;21,4;60,4;18,2;5,1;1,2;11,7;6,9;3.111;2,4;41,2;8,0;84;63,5;-68;27,7;0,8;4.857;488;1.165;3.204;728;183;105;440;0,15;7,8;1,5;19,7;31,6;9,9;27,9;0,6;3,5;0,7;*;5,5;0,1;0,5;"MATCH (a:Gemeinde), (b:Partei) WHERE a.BFSNr=1151 AND b.name='SVP' CREATE (a)<-[:hatWaehleranteil {AnteilProzent:toFloat(27,92664836)}]-(b);";37,5;0,8;2,8